draw_date,ball_1,ball_2,ball_3,ball_4,star_1
2026-11-25,1,2,5,7,1
2026-12-02,1,8,9,10,2
2026-12-09,1,9,11,12,1
2026-12-16,3,4,6,9,3
2026-12-23,4,8,9,11,2
2026-12-30,1,4,7,10,4
2027-01-06,2,3,7,11,4
2027-01-13,5,7,11,12,2
2027-01-20,5,9,11,12,1
2027-01-27,3,4,8,10,4
2027-02-03,2,8,9,12,2
2027-02-10,2,5,7,12,2
2027-02-17,5,6,7,10,2
2027-02-24,4,6,8,12,2
2027-03-03,4,5,6,7,2
2027-03-10,4,5,9,10,2
2027-03-17,1,5,8,9,2
2027-03-24,3,5,6,9,3
2027-03-31,2,3,8,11,4
2027-04-07,2,5,7,11,3
2027-04-14,2,4,7,12,1
2027-04-21,1,4,7,8,1
2027-04-28,1,6,7,9,3
2027-05-05,1,3,9,12,3
2027-05-12,6,7,9,11,2
2027-05-19,3,4,5,7,1
2027-05-26,4,9,11,12,1
2027-06-02,1,3,5,12,2
2027-06-09,3,5,7,8,2
2027-06-16,4,5,6,12,1
2027-06-23,2,6,7,11,4
2027-06-30,2,3,4,11,1
2027-07-07,2,6,8,9,2
2027-07-14,6,7,11,12,1
2027-07-21,5,7,9,12,2
2027-07-28,1,7,11,12,1
2027-08-04,4,5,6,11,3
2027-08-11,1,3,7,12,1
2027-08-18,5,6,9,11,4
2027-08-25,3,4,6,11,2
2027-09-01,1,3,5,6,1
2027-09-08,5,8,9,12,3
2027-09-15,3,4,5,12,1
2027-09-22,3,6,9,12,2
2027-09-29,6,7,10,11,3
2027-10-06,4,5,6,10,2
2027-10-13,1,2,4,11,1
2027-10-20,2,4,9,10,4
2027-10-27,4,6,7,8,4
2027-11-03,2,3,5,7,2
2027-11-10,1,4,7,12,1
2027-11-17,2,5,7,9,2
2027-11-24,1,4,9,10,3
2027-12-01,1,2,8,10,2
2027-12-08,2,4,5,12,4
2027-12-15,1,4,6,11,2
2027-12-22,1,2,8,10,3
2027-12-29,1,4,5,8,1
2028-01-05,3,4,9,12,1
2028-01-12,3,4,7,11,1
2028-01-19,2,5,11,12,2
2028-01-26,2,8,9,10,2
2028-02-02,7,8,11,12,1
2028-02-09,1,2,4,7,2
2028-02-16,1,2,9,10,4
2028-02-23,6,8,9,10,3
2028-03-01,6,9,11,12,2
2028-03-08,2,5,10,11,2
2028-03-15,1,2,7,8,2
2028-03-22,1,3,5,8,1
2028-03-29,1,2,6,12,4
2028-04-05,2,4,9,12,1
2028-04-12,6,7,9,10,4
2028-04-19,3,6,7,9,2
2028-04-26,6,9,10,12,2
2028-05-03,3,4,10,11,2
2028-05-10,1,3,9,11,3
2028-05-17,3,7,9,11,4
2028-05-24,1,5,6,9,2
2028-05-31,5,7,10,11,3
2028-06-07,1,4,6,7,3
2028-06-14,4,6,10,11,2
2028-06-21,1,9,10,12,2
2028-06-28,1,3,10,11,1
2028-07-05,4,8,10,12,3
2028-07-12,2,5,7,10,2
2028-07-19,1,6,10,12,4
2028-07-26,7,8,9,10,4
2028-08-02,3,8,10,11,2
2028-08-09,1,2,8,9,1
2028-08-16,2,3,6,10,2
2028-08-23,5,7,8,10,4
2028-08-30,1,4,9,12,3
2028-09-06,1,3,6,12,4
2028-09-13,3,8,9,10,4
2028-09-20,2,6,7,9,3
2028-09-27,1,3,9,10,2
2028-10-04,6,7,8,11,3
2028-10-11,7,8,11,12,4
2028-10-18,1,2,7,10,3
2028-10-25,2,6,7,8,4
2028-11-01,2,3,8,10,1
2028-11-08,3,7,8,11,3
2028-11-15,4,6,8,12,4
2028-11-22,1,2,8,12,1
2028-11-29,1,6,8,9,3
2028-12-06,2,3,5,12,1
2028-12-13,1,3,4,11,1
2028-12-20,2,3,8,11,4
2028-12-27,3,5,6,12,4
2029-01-03,1,2,4,9,4
2029-01-10,1,2,11,12,4
2029-01-17,2,6,10,12,2
2029-01-24,2,5,7,9,3
2029-01-31,1,4,5,10,2
2029-02-07,2,3,4,12,1
2029-02-14,2,5,8,11,3
2029-02-21,1,2,6,12,3
2029-02-28,2,8,9,10,4
2029-03-07,4,5,6,9,2
2029-03-14,2,4,7,9,1
2029-03-21,7,8,10,11,2
2029-03-28,6,8,10,11,1
2029-04-04,5,6,11,12,1
2029-04-11,2,4,11,12,2
2029-04-18,5,6,9,12,2
2029-04-25,2,3,9,11,2
2029-05-02,7,8,9,10,3
2029-05-09,1,4,5,12,1
2029-05-16,5,6,9,11,1
2029-05-23,2,4,5,11,2
2029-05-30,1,7,8,9,1
2029-06-06,3,6,11,12,1
2029-06-13,2,4,6,11,1
2029-06-20,1,6,7,11,2
2029-06-27,3,7,8,11,2
2029-07-04,2,4,8,11,4
2029-07-11,3,4,6,12,3
2029-07-18,2,6,7,10,3
2029-07-25,1,3,4,10,2
2029-08-01,5,8,9,12,3
2029-08-08,1,7,11,12,1
2029-08-15,2,4,5,10,3
2029-08-22,1,4,6,11,4
2029-08-29,1,2,6,10,1
2029-09-05,2,3,5,7,3
2029-09-12,6,7,10,12,1
2029-09-19,1,3,8,11,4
2029-09-26,2,3,9,11,2
2029-10-03,4,7,9,11,1
2029-10-10,5,6,8,11,3
2029-10-17,4,6,10,11,3
2029-10-24,5,7,8,9,2
2029-10-31,1,2,3,9,1
2029-11-07,4,8,10,12,4
2029-11-14,1,3,9,10,4
2029-11-21,4,5,7,12,1
2029-11-28,1,8,10,11,1
2029-12-05,1,4,5,9,4
2029-12-12,1,4,11,12,4
2029-12-19,1,4,7,11,3
